product_name,product_category,product_promo,product_price,quantity_sold,location
Goats Milk pet milk replacer puppies kitten hamster rabbit piglets calves 200g 100g milk supplement,Pet Care,Free Gift,₱85 - ₱135,17.7K sold,"Dasmarinas City, Cavite"
New pet vest Teddy puppy dog hero clothes spring and summer small dog Pet ClothES,Pet Care,₱ 28 | 3.30 ONLY,₱28 - ₱54,9K sold,"Pasay City, Metro Manila"
❤️❤️Pet Daycare Dog Reflective Vest Dog Leash with Harness Padded Dog Collar Adjustable Pet Collar Pet Leash,Pet Care,₱5 off,₱24 - ₱104,2.4K sold,"Guiguinto, Bulacan"
Detick 1cc or 2CC + Syringe: Anti Tick & Flea Spot on Treatment for Dogs and Cats,Pet Care,,₱37 - ₱60,177.3K sold,"Pasig City, Metro Manila"
Cat Snack Pet Snacks Cat Kitten Snacks Cat Treats Fresh Wet Food 18G Cat Snacks Cat Food Cat Treat,Pet Care,,₱5 - ₱6,416.2K sold,"Valenzuela City, Metro Manila"
pet dryer blower dog cat low noise fast hair dryer pet grooming supplies,Pet Care,Add-on Deal,₱52 - ₱219,8.3K sold,"Marilao, Bulacan"
Pet Dog Outdoor Water Bottle Travel Portable Pet Dog Water Feeder Dog Water Bottle for Traveling,Pet Care,Free Gift,₱188,7.6K sold,"Valenzuela City, Metro Manila"
Papi MVP Multivitamins 120ml SALE!,Pet Care,Add-on Deal,₱110,148K sold,"Santa Rosa City, Laguna"
Paw's Pet Snacks Cat Kitten Snacks Cat Treats Fresh Wet Food 15g,Pet Care,₱ 4 | 3.30 ONLY,₱10,735.2K sold,"Pasay City, Metro Manila"
Cartoon pet dog clothes explosion Dingdang cat multiple pet vest shirts cat clothes,Pet Care,Add-on Deal,₱28 - ₱36,11.6K sold,"Marilao, Bulacan"
3 in 1 Small Aquarium Filter Small Tank Filter Suspension Oxygen Pump,Pet Care,₱ 128 | 3.30 ONLY,₱128 - ₱178,7.2K sold,"Valenzuela City, Metro Manila"
Cat Litter Box With Scoop Kitten Litter Box Cat Toilet Deodorization leakage prevention Litter Box,Pet Care,Free Gift,₱98 - ₱172,3.3K sold,"Binondo, Metro Manila"
Papi Broncure 60ml For Respiratory Strength and Treatment,Pet Care,Add-on Deal,₱170,35.4K sold,"Santa Rosa City, Laguna"
12Pcs DIY Pet Fence 35*35cm Dog Cage Pet Playpen Dog Playpen Crate For Puppy Cats Rabbits,Pet Care,Free Gift,₱88 - ₱435,27.8K sold,"Valenzuela City, Metro Manila"
dog clothes dog jersey puppy clothes puppy jersey,Pet Care,₱ 29 | 3.30 ONLY,₱29 - ₱88,52.5K sold,"Pasay City, Metro Manila"
Cat Litter Tofu 6L Food  Plant Tofu Residue Made Cat Sand Tofu Cat Litter Sand Deodorant Cat Litter,Pet Care,"₱12 off
Any 6 enjoy 4% off",₱35 - ₱118,3.5K sold,"Valenzuela City, Metro Manila"
Pet Dog Comb Brush Cat Comb Grooming Cleaning Comb Hair Fur Shedding Tool,Pet Care,,₱24 - ₱64,14.7K sold,"Plaridel, Bulacan"
Dog Toys Clean Teeth Pet Toys Puppy Dog Chew Toy Resistant To Bite Bone Molar Thorn,Pet Care,₱ 25 | 3.30 ONLY,₱10 - ₱48,32.3K sold,"Valenzuela City, Metro Manila"
4Pcs Cute Pet Dog Socks with Print Anti-Slip Cats Puppy Shoes Paw Protector Products,Pet Care,Free Gift,₱37 - ₱38,52.3K sold,"Valenzuela City, Metro Manila"
Dog Training Potty Pad(With Stand) dog pee pad tray pet poop tray,Pet Care,,₱65 - ₱219,7.3K sold,"Marilao, Bulacan"
Dog Dryer Blower Dog Blower Hair Dryer Pet Blower Pet Hair Dryer For Dog/Cat Pet Grooming Blower,Pet Care,"₱5 off
Any 2 enjoy ₱10 off",₱62 - ₱309,11.9K sold,"Meycauayan City, Bulacan"
Breathable Cat Bag Carrier Soft Cat Dog Portable Bags Foldable Pet Bag Outdoor Travel Pets Backpack,Pet Care,Any 2 enjoy 3% off,₱48 - ₱221,4.8K sold,"Marilao, Bulacan"
Summer Dog Clothes Breathable Basketball Jersey Puppy Cats Vest Sport Shirts Pets T-shirt Costume,Pet Care,Free Gift,₱38 - ₱58,13K sold,"Valenzuela City, Metro Manila"
Nexgard and Nexgard Spectra per Tablet WITH STICKER,Pet Care,,"₱407 - ₱2,035",65.2K sold,"Pasig City, Metro Manila"
Aozi Wet Dog Food in Can 430g,Pet Care,,₱66,131.9K sold,"Tondo I / Ii, Metro Manila"
Cage matting Plastic Matting For Dog Splicing Matting For Rabbit/Hamster/Cat,Pet Care,Add-on Deal,₱5 - ₱22,14.9K sold,"Marilao, Bulacan"
"LC Vit Multi-vitamins Syrup, Pet Multivitamins Cat Dog Vitamins",Pet Care,,₱76 - ₱120,117.4K sold,"Dasmarinas City, Cavite"
"Bearing Anti-Tick & Flea Shampoo for Dogs 150 ml, 300 ml, 600 ml, 1500 ml",Pet Care,,₱152 - ₱690,19K sold,"Tondo I / Ii, Metro Manila"
Artificial Water Grass Aquarium decor Plant Fish Tank Landscape Plastic Fake Flower,Pet Care,Any 10 enjoy ₱20 off,₱24,65.2K sold,"Pulilan, Bulacan"
"PEDIGREE Dog Food Pouch Bundle of 2 Flavors (24-Pack),  130g. Wet Dog Food for Adult Dogs",Pet Care,Free Gift,₱930,29.5K sold,
Cat Litter Box With Scoop Kitten Litter Box Cat Toilet Deodorization leakage prevention Litter Box,Pet Care,,₱108 - ₱169,45.9K sold,"Marilao, Bulacan"
Dog and Cat  Shampoo Bundle pack,Pet Care,,₱125 - ₱133,111.3K sold,"Cainta, Rizal"
Portable USB Aquarium Oxygen Air Pump Fish Tank USB Silent Air Aerator With Hose and Airstone,Pet Care,₱ 78 | 3.30 ONLY,₱170,5K sold,"Valenzuela City, Metro Manila"
Jerhigh Treats - Dog Treats,Pet Care,,₱75 - ₱85,8K sold,"Caloocan City, Metro Manila"
4Pcs Pet Shoes dog shoes puppy shoes Waterproof Shoes Anti Slip dog shoes for small dogs shih tzu,Pet Care,₱ 65 | 3.30 ONLY,₱29 - ₱74,23.3K sold,"Valenzuela City, Metro Manila"
Nexgard Spectra Anti Tick & Flea with Sticker for DOGS Chewable,Pet Care,₱ 545 | 3.30 ONLY,"₱545 - ₱2,250",46.4K sold,"Las Pinas City, Metro Manila"
EDEN Dog Cat Bowls Travel Footprint Feeding Feeder Water Plastic Bowl For Dog Cats Puppy Food Bowl,Pet Care,,₱169,5.7K sold,"Muntinlupa City, Metro Manila"
"WHISKAS Junior Kitten Food Pouch – Kitten Wet Food in Mackerel and Tuna Flavor (24-Pack), 80g.",Pet Care,₱ 723 | 3.30 ONLY,₱792,31.6K sold,
♥️PET CAT-DOG CLOTHES(S-XXL),Pet Care,₱ 29 | 3.30 ONLY,₱29 - ₱35,41.8K sold,"Valenzuela City, Metro Manila"
"LC-VIT Multivitamins 120ml for dogs, cats and other pets",Pet Care,₱25 off,₱123,134.2K sold,"Santa Rosa City, Laguna"
