product_name,product_category,product_promo,product_price,quantity_sold,location
WUTUNS Pet Deodorant Spray Eliminates Odors and ANTIBACTERIAL for dogs Dogs Deodorizing for Pets,Others,Any 2 enjoy 2% off,₱209,42 sold,"Plaridel, Bulacan"
"Bird training whistle. pigeon, albs , keets, cockatiel, dog whistle",Others,,₱25,100 sold,"Dinalupihan, Bataan"
10 Pcs 8mm*6mm/10mm*6mm Pigeons Straight Aluminum Foot Ring identification flight training leg ring Birds foot ring,Others,Economy Delivery,₱56 - ₱61,1.2K sold,Mainland China
Baena/Bayna/Baina(para sa tari)gaffing accessories/PARA SA TARI NG MANOK PANABONG,Others,,₱50,239 sold,"San Pedro, Laguna"
Pet Poop bag - 3 pcs/pack,Others,,₱45,297 sold,"Santa Rosa City, Laguna"
Bioline Play Bubbles-Bacon Flavor for Dogs 120ml,Others,,₱284,49 sold,"Quezon City, Metro Manila"
Plastic Cage Spring Lock,Others,,₱15,254 sold,"Taytay, Rizal"
bestmedagriventureproduct,Others,,"₱1,150",714 sold,"Laur, Nueva Ecija"
Pet Poop Bag Refill garbage Waste disposable,Others,,₱7,7.3K sold,"Binondo, Metro Manila"
"Disposable Syringes 1cc, 3cc, 5cc, 10cc per piece",Others,,₱5 - ₱10,4.9K sold,"Science City Of Munoz, Nueva Ecija"
